Qtd_Retangulos,Greedy_Verts,Greedy_Rects,Greedy_Rects_and_Verts,Greedy_Neighbors,Constraints Propagation,Constraint Programming,Integer Programming,Dynamic Programming,Extended Solution (D=1),Extended Solution (D=2)
14,5,6,5,5,5,5,5,5,5,2
14,5,6,6,6,5,5,5,5,5,2
14,6,5,5,5,5,5,5,5,5,2
14,6,6,6,6,6,6,6,6,6,2
14,6,6,6,6,6,6,6,6,6,2
15,6,7,6,6,6,6,6,6,6,2
15,6,6,6,6,6,6,6,6,6,2
15,6,7,6,6,6,6,6,6,6,2
15,7,9,7,7,6,6,6,6,6,2
15,6,6,6,6,7,6,6,6,6,2
15,7,6,6,6,6,6,6,6,6,2
15,6,7,6,6,6,6,6,6,6,3
15,5,7,5,5,5,5,5,5,5,2
15,6,8,6,6,5,5,5,5,5,2
15,7,7,6,6,6,6,6,6,6,2
16,6,7,7,7,6,6,6,6,6,2
16,7,7,6,6,6,6,6,6,6,2
16,7,7,6,6,6,6,6,6,6,2
16,7,6,6,6,6,6,6,6,6,2
16,8,10,7,7,7,7,7,7,7,3
16,7,7,6,6,6,6,6,6,6,2
16,7,8,6,6,7,6,6,6,6,3
16,7,9,7,7,6,6,6,6,6,2
16,6,9,6,6,6,6,6,6,6,2
16,6,8,6,6,6,6,6,6,6,2
17,8,10,8,8,7,7,7,7,7,3
17,7,8,7,7,6,6,6,6,6,2
17,8,8,7,7,6,6,6,6,6,2
17,8,9,8,8,7,7,7,7,7,2
17,6,6,6,6,6,6,6,6,6,2
17,8,8,7,7,7,7,7,7,7,2
17,7,8,7,7,7,6,6,6,6,2
17,6,11,7,7,6,6,6,6,6,1
17,6,8,7,7,7,6,6,6,6,2
17,6,8,7,7,6,6,6,6,6,2
18,7,8,7,7,7,7,7,7,7,2
18,8,9,7,7,8,7,7,7,7,2
18,9,9,8,8,8,8,8,8,8,1
18,9,9,8,8,38,8,8,8,8,2
18,8,9,7,7,7,7,7,7,7,2
18,7,7,7,7,7,7,7,7,7,2
18,8,8,8,8,7,7,7,7,7,3
18,6,7,7,7,7,6,6,6,6,2
18,9,9,8,8,7,7,7,7,7,2
18,7,9,7,7,7,6,6,6,6,2
19,9,10,7,7,7,7,7,7,7,3
19,8,8,7,7,7,7,7,7,7,2
19,7,9,8,8,7,7,7,7,7,2
19,8,8,8,8,7,7,7,7,7,2
19,7,10,8,8,7,7,7,7,7,2
19,7,8,8,8,7,7,7,7,7,2
19,8,8,8,8,8,7,7,7,7,2
19,8,10,9,9,7,7,7,7,7,2
19,7,9,8,8,7,7,7,7,7,2
19,8,10,8,8,8,8,8,8,8,2
20,9,11,9,9,9,8,8,8,8,2
20,8,10,8,8,9,8,8,8,8,2
20,8,10,7,7,8,7,7,7,7,3
20,9,9,9,9,8,8,8,8,8,3
20,7,9,7,7,8,7,7,7,7,3
20,8,10,8,8,8,7,7,7,7,2
20,10,10,8,8,7,7,7,7,7,2
20,9,10,8,8,8,8,8,8,8,2
20,8,10,8,8,42,7,7,7,7,2
20,8,11,8,8,8,8,8,8,8,3
21,9,12,9,9,8,8,8,8,8,3
21,9,10,10,10,9,8,8,8,8,3
21,9,11,9,9,8,8,8,8,8,2
21,8,10,8,8,8,8,8,8,8,3
21,8,10,9,9,8,8,8,8,8,3
21,8,9,9,9,8,8,8,8,8,3
21,9,10,8,8,8,8,8,8,8,3
21,9,11,9,9,8,8,8,8,8,2
21,8,10,8,8,8,7,7,7,7,2
21,8,10,8,8,8,8,8,8,8,3
22,9,12,10,10,8,8,8,8,8,3
22,9,10,9,9,8,8,8,8,8,3
22,10,9,9,9,9,8,8,8,8,3
22,8,11,8,8,8,8,8,8,8,3
22,9,11,9,9,10,9,9,9,9,3
22,8,10,8,8,46,8,8,8,8,2
22,10,9,8,8,8,8,8,8,8,2
22,8,10,9,9,8,8,8,8,8,3
22,9,11,9,9,9,8,8,8,8,2
22,9,10,9,9,8,8,8,8,8,2
23,10,10,10,10,9,9,9,9,9,3
23,9,10,8,8,8,8,8,8,8,3
23,9,12,9,9,9,9,9,9,9,2
23,9,11,10,10,8,8,8,8,8,3
23,9,11,9,9,8,8,8,8,8,3
23,10,12,9,9,8,8,8,8,8,2
23,10,11,9,9,8,8,8,8,8,2
23,10,11,9,9,8,8,8,8,8,3
23,9,11,10,10,9,8,8,8,8,3
23,9,10,8,8,8,8,8,8,8,2
24,10,14,10,10,10,10,10,0,10,3
24,10,11,9,9,9,9,9,0,9,3
24,9,11,10,10,9,9,9,0,9,3
24,10,12,10,10,9,9,9,0,9,2
24,10,13,10,10,9,9,9,0,9,2
24,10,12,9,9,50,9,9,0,9,2
24,10,13,9,9,9,9,9,0,9,2
24,10,13,11,11,9,9,9,0,9,3
24,9,12,10,10,9,9,9,0,9,2
24,9,11,9,9,9,9,9,0,9,2
25,10,11,10,10,10,9,9,0,9,3
25,11,13,11,11,9,9,9,0,9,3
25,10,12,10,10,9,9,9,0,9,3
25,9,10,10,10,52,9,9,0,9,3
25,10,12,11,11,9,9,9,0,9,3
25,10,13,10,10,9,9,9,0,9,3
25,11,11,10,10,10,10,10,0,10,3
25,10,13,11,11,10,10,10,0,10,3
25,9,11,9,9,9,9,9,0,9,3
25,9,12,10,10,9,9,9,0,9,3
26,10,13,11,11,10,10,10,0,10,3
26,10,12,11,11,10,9,9,0,9,3
26,10,12,10,10,10,9,9,0,9,3
26,10,13,10,10,10,9,9,0,9,3
26,11,12,10,10,9,9,9,0,9,3
26,11,12,11,11,9,9,9,0,9,3
26,10,12,9,9,9,9,9,0,9,3
26,11,12,10,10,54,9,9,0,9,3
26,12,10,10,10,10,9,9,0,9,3
26,10,12,10,10,10,9,9,0,9,3
27,11,13,11,11,10,10,10,0,10,3
27,11,13,11,11,9,9,9,0,9,3
27,11,13,10,10,10,10,10,0,10,3
27,10,13,11,11,10,10,10,0,10,3
27,11,13,10,10,10,10,10,0,10,3
27,9,11,10,10,9,9,9,0,9,3
27,12,13,11,11,10,10,10,0,10,3
27,10,14,11,11,10,10,10,0,10,3
27,11,14,11,11,10,10,10,0,10,2
27,12,13,11,11,56,10,10,0,10,3
